col0|col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20|col21|col22|col23|col24|col25|col26|col27|col28|col29|col30|col31|col32|col33|col34|col35|col36|col37|col38|col39|col40|col41|col42|col43|col44|col45|col46|col47|col48|col49|col50|col51|col52|col53|col54|col55|col56|col57|col58
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|0|SCAR|D|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|290.3399963378906|290.3399963378906|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|0|RFAC||EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|421.3900146484375|421.3900146484375|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|0|SFAR|W|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|366.6099853515625|366.6099853515625|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|0|CCAR|B|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|297.260009765625|297.260009765625|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|LCAR|H|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|803.9299926757812|None|None|None|1138.31005859375|None|None|None|None|None|None|None|None|None|None|None|None|None|748.75|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|MVAR|V|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|485.8800048828125|485.8800048828125|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|280.7900085449219|280.7900085449219|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|SCAR|D|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|276.25|276.25|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|JCAE||EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|347.1700134277344|347.1700134277344|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|FCAR|E|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|290.7900085449219|290.7900085449219|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|IFAR|F|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|305.45001220703125|305.45001220703125|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|CCAR|B|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|293.2300109863281|None|276.0|None|719.9400024414062|None|284.69000244140625|None|None|None|None|None|None|None|None|None|282.8399963378906|None|300.45001220703125|None|None|None|None|None|284.69000244140625|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|SFAR|W|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|361.9800109863281|None|403.0899963378906|None|1237.300048828125|None|351.5|None|None|None|None|None|None|None|None|None|348.82000732421875|None|369.2099914550781|None|None|None|None|None|351.5|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|289.6099853515625|None|273.2799987792969|None|793.760009765625|None|281.6099853515625|None|None|None|None|None|None|None|None|None|280.7900085449219|None|296.8399963378906|None|None|None|None|None|281.6099853515625|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|IFAR|F|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|621.6099853515625|None|334.7699890136719|None|1074.239990234375|None|293.82000732421875|None|None|None|None|None|None|None|None|None|305.45001220703125|None|None|None|None|None|None|None|293.82000732421875|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|0|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|295.1000061035156|295.1000061035156|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|0|SCAR|D|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|290.3399963378906|290.3399963378906|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|0|RFAC||EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|421.3900146484375|421.3900146484375|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|0|FCAR|E|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|305.6199951171875|305.6199951171875|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|0|IFAR|F|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|321.0299987792969|321.0299987792969|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|SCAR|D|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|276.25|276.25|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|RFAC||EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|400.94000244140625|400.94000244140625|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|SFAR|W|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|348.82000732421875|348.82000732421875|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|PCAR|G|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|434.3599853515625|None|423.5|None|883.260009765625|None|None|None|None|None|None|None|None|None|None|None|None|None|441.5899963378906|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|ICAR|C|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|296.7799987792969|None|286.94000244140625|None|729.97998046875|None|287.7799987792969|None|None|None|None|None|None|None|None|None|286.7900085449219|None|304.0199890136719|None|None|None|None|None|287.7799987792969|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|SCAR|D|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|300.4700012207031|None|300.6099853515625|None|751.3499755859375|None|283.260009765625|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|283.260009765625|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|0|MVAR|V|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|501.92999267578125|501.92999267578125|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|0|SFAR|W|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|366.6099853515625|366.6099853515625|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|0|CCAR|B|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|297.260009765625|297.260009765625|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|0|ICAR|C|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|301.4100036621094|301.4100036621094|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|0|JCAE||EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|364.8699951171875|364.8699951171875|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|MVAR|V|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|477.5799865722656|477.5799865722656|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|280.7900085449219|280.7900085449219|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|CCAR|B|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|282.8399963378906|282.8399963378906|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|ICAR|C|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|286.7900085449219|286.7900085449219|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|JCAE||EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|347.1700134277344|347.1700134277344|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|FCAR|E|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|290.7900085449219|290.7900085449219|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|LCAR|H|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|803.9299926757812|None|None|None|1138.31005859375|None|None|None|None|None|None|None|None|None|None|None|None|None|748.75|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240112|1030|2024-01-12 10:30|1705055400000|20240119|1030|2024-01-19 10:30|1705660200000|7|1|IFAR|F|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|305.45001220703125|305.45001220703125|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|1|ICAR|C|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|296.7799987792969|None|286.94000244140625|None|729.97998046875|None|287.7799987792969|None|None|None|None|None|None|None|None|None|286.7900085449219|None|304.0199890136719|None|None|None|None|None|287.7799987792969|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|1|SFAR|W|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|361.9800109863281|None|403.0899963378906|None|1237.300048828125|None|351.5|None|None|None|None|None|None|None|None|None|348.82000732421875|None|369.2099914550781|None|None|None|None|None|351.5|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|1|IFAR|F|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|325.7900085449219|None|334.7699890136719|None|1074.239990234375|None|293.82000732421875|None|None|None|None|None|None|None|None|None|305.45001220703125|None|333.0199890136719|None|None|None|None|None|293.82000732421875|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|1|LCAR|H|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|803.9299926757812|None|None|None|1138.31005859375|None|None|None|None|None|None|None|None|None|None|None|None|None|748.75|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|0|CCAR|B|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|297.260009765625|297.260009765625|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|0|FCAR|E|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|305.6199951171875|305.6199951171875|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|0|SCAR|D|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|290.3399963378906|290.3399963378906|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|0|SFAR|W|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|366.6099853515625|366.6099853515625|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|1|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|289.4599914550781|None|273.2799987792969|None|793.760009765625|None|281.6099853515625|None|None|None|None|None|None|None|None|None|279.8399963378906|None|296.7099914550781|None|None|None|None|None|281.6099853515625|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|1|CCAR|B|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|293.2300109863281|None|276.0|None|719.9400024414062|None|284.69000244140625|None|None|None|None|None|None|None|None|None|282.8399963378906|None|300.45001220703125|None|None|None|None|None|284.69000244140625|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|1|SCAR|D|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|300.4700012207031|None|300.6099853515625|None|751.3499755859375|None|283.260009765625|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|283.260009765625|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|0|MVAR|V|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|527.75|527.75|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|0|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|294.1099853515625|294.1099853515625|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240113|1030|2024-01-13 10:30|1705141800000|20240120|1030|2024-01-20 10:30|1705746600000|7|0|IFAR|F|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|321.0299987792969|321.0299987792969|None|None|None|None|None|None|None|None|None|None
